OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Hospitalization_Rate,Testing_Rate
137,Putumayo,Colombia,1610296229000,0.436,-75.5277,6290,252,5661,377,,1806.52647178774,,,4.00635930047695,17024,COL,,
154,Mayotte,France,1610296229000,-12.8275,45.166244,6232,56,2964,3212,,2284.34861975052,,,0.898587933247754,175,MYT,,
153,Martinique,France,1610296229000,14.6415,-61.0242,6117,43,98,5976,,1630.04809934313,,,0.702958966813798,474,MTQ,,
318,Aruba,Netherlands,1610296229000,12.5211,-69.9683,6013,50,5436,527,,5631.94275331098,,,0.83153168135706,533,ABW,,
207,Sikkim,India,1610296229000,27.571671,88.472712,5984,129,5486,369,,866.931014949634,,,2.1557486631016,35629,IND,,
257,Kyoto,Japan,1610296229000,35.253815,135.443341,5937,71,4368,1498,,229.852839207157,,,1.1958901802257,39222,JPN,,
267,Okinawa,Japan,1610296229000,25.768923,126.668016,5918,87,5240,591,,407.248164011319,,,1.47009124704292,39232,JPN,,
471,Blekinge,Sweden,1610296229000,56.2784,15.018,5789,52,,5737,,3627.05662694385,,,0.898255311798238,75201,SWE,,
126,Choco,Colombia,1610296229000,5.2528,-76.826,5068,169,4779,120,,947.597910348412,,,3.33464877663773,17013,COL,,
2,New South Wales,Australia,1610296229000,-33.8688,151.2093,5007,54,3215,1738,,61.6777531411678,,,1.07849011384062,3602,AUS,,
178,Andaman and Nicobar Islands,India,1610296229000,11.225999,92.968178,4959,62,4873,24,,1189.10597646246,,,1.25025206694898,35601,IND,,
476,Jamtland Harjedalen,Sweden,1610296229000,63.1712,14.9592,4954,85,,4869,,3787.17223453864,,,1.71578522406136,75206,SWE,,
337,Gilgit-Baltistan,Pakistan,1610296229000,35.792146,74.982138,4879,101,4729,49,,481.361189600467,,,2.07009633121541,58603,PAK,,
116,Arauca,Colombia,1610296229000,7.0762,-70.7105,4757,137,4406,214,,1814.44384263886,,,2.87996636535632,17003,COL,,
466,Melilla,Spain,1610296229000,35.2923,-2.9381,4728,44,125,4559,,5582.77934560569,,,0.930626057529611,72415,ESP,,
320,Curacao,Netherlands,1610296229000,12.1696,-68.99,4445,19,3668,758,,2708.71419865935,,,0.427446569178853,531,CUW,,
201,Mizoram,India,1610296229000,23.309381,92.83822,4292,8,4186,98,,346.340188050134,,,0.186393289841566,35623,IND,,
246,Hiroshima,Japan,1610296229000,34.605309,132.788719,4067,50,2880,1137,,145.033640886435,,,1.22940742562085,39211,JPN,,
386,Jewish Autonomous Okrug,Russia,1610296229000,48.57527615,132.6630746,3895,77,3176,642,,2404.11322478304,,,1.97689345314506,64319,RUS,,
185,Dadra and Nagar Haveli and Daman and Diu,India,1610296229000,20.194742,73.080901,3380,2,3374,4,,548.947255588543,,,0.0591715976331361,35608,IND,,
274,Shizuoka,Japan,1610296229000,34.916975,138.407784,3360,44,2449,867,,92.2183114827168,,,1.30952380952381,39238,JPN,,
114,Amazonas,Colombia,1610296229000,-1.4429,-71.5724,3325,127,3155,43,,4341.35450260481,,,3.81954887218045,17001,COL,,
581,Channel Islands,United Kingdom,1610296229000,49.3723,-2.3644,3260,73,2850,337,,1912.03467469017,,,2.23926380368098,8261,GBR,,
461,Ceuta,Spain,1610296229000,35.8894,-5.3213,3225,62,163,3000,,3801.76590552759,,,1.92248062015504,72410,ESP,,
249,Ibaraki,Japan,1610296229000,36.303588,140.319591,3140,41,2377,722,,109.778425882257,,,1.30573248407643,39214,JPN,,
584,Gibraltar,United Kingdom,1610296229000,36.1408,-5.3536,3109,12,1842,1255,,9227.98373452851,,,0.385976198134448,292,GIB,,
244,Gifu,Japan,1610296229000,35.778671,137.055925,3037,44,2213,780,,152.875257917222,,,1.44879815607507,39209,JPN,,
245,Gunma,Japan,1610296229000,36.504479,138.985605,2872,45,2233,594,,147.854056925871,,,1.56685236768802,39210,JPN,,
259,Miyagi,Japan,1610296229000,38.446859,140.927086,2624,16,2104,504,,113.772104588823,,,0.609756097560976,39224,JPN,,
275,Tochigi,Japan,1610296229000,36.689912,139.819213,2510,12,1289,1209,,129.783504568276,,,0.47808764940239,39239,JPN,,
140,San Andres y Providencia,Colombia,1610296229000,12.5567,-81.7185,2499,41,2426,32,,4078.00261096606,,,1.640656262505,17027,COL,,
256,Kumamoto,Japan,1610296229000,32.608154,130.745231,2452,33,1719,700,,140.309355807245,,,1.34584013050571,39221,JPN,,
474,Gotland,Sweden,1610296229000,57.4684,18.4867,2380,34,,2346,,3987.53476527159,,,1.42857142857143,75204,SWE,,
263,Nara,Japan,1610296229000,34.317451,135.871644,2327,26,1905,396,,174.946226777524,,,1.11731843575419,39228,JPN,,
544,Virgin Islands,US,1610296229000,18.3358,-64.8963,2143,24,1984,135,78,1997.79990304657,37469,,1.11992533831078,850,VIR,,34930.2681135101
86,Guangdong,China,1610296229000,23.3417,113.4244,2068,8,2022,38,,1.82266878194959,,,0.386847195357834,15606,CHN,,
130,Guaviare,Colombia,1610296229000,1.0654,-73.2603,2023,37,1942,44,,2444.21085698406,,,1.82896688087,17017,COL,,
269,Port Quarantine,Japan,1610296229000,,,2016,1,1845,170,,,,,0.0496031746031746,39248,JPN,,
68,Aysen,Chile,1610296229000,-45.9864,-73.7669,1812,18,1617,177,,1756.52881986855,,,0.993377483443709,15205,CHL,,
266,Okayama,Japan,1610296229000,34.89246,133.826252,1807,15,1241,551,,95.629413003695,,,0.830105146651909,39231,JPN,,
331,Unknown,Netherlands,1610296229000,,,1702,12,,1690,,,,,0.705052878965922,52813,NLD,,
261,Nagano,Japan,1610296229000,36.132134,138.045528,1608,16,1159,433,,78.4853498894469,,,0.995024875621891,39226,JPN,,
106,Shanghai,China,1610296229000,31.202,121.4491,1562,7,1449,106,,6.44389438943894,,,0.448143405889885,15624,CHN,,
258,Mie,Japan,1610296229000,34.508018,136.376013,1562,20,1223,319,,87.7093485138263,,,1.28040973111396,39223,JPN,,
330,Sint Maarten,Netherlands,1610296229000,18.0425,-63.0548,1554,27,1432,95,,3623.89813907933,,,1.73745173745174,534,SXM,,
272,Shiga,Japan,1610296229000,35.215827,136.138064,1546,16,1091,439,,109.339626844929,,,1.03492884864166,39236,JPN,,
56,Nova Scotia,Canada,1610296229000,44.682,-63.7443,1529,65,1433,31,,156.426318497898,,,4.25114453891432,12407,CAN,,
113,Zhejiang,China,1610296229000,29.1832,120.0934,1308,1,1296,11,,2.2799372494335,,,0.0764525993883792,15631,CHN,,
92,Henan,China,1610296229000,33.882,113.614,1301,22,1273,6,,1.35450286309214,,,1.69100691775557,15612,CHN,,
260,Miyazaki,Japan,1610296229000,32.193204,131.299374,1295,11,728,556,,120.6558085756,,,0.849420849420849,39225,JPN,,
4,Queensland,Australia,1610296229000,-27.4698,153.0251,1274,6,1241,27,,24.9047013977128,,,0.470957613814757,3604,AUS,,
253,Kagoshima,Japan,1610296229000,31.009484,130.430665,1245,15,975,255,,77.7021144336827,,,1.20481927710843,39218,JPN,,
129,Guainia,Colombia,1610296229000,2.5854,-68.5247,1241,20,1209,12,,2579.29085089579,,,1.6116035455278,17016,COL,,
250,Ishikawa,Japan,1610296229000,36.769464,136.771027,1227,53,993,181,,107.854004178793,,,4.31947840260799,39215,JPN,,
243,Fukushima,Japan,1610296229000,37.378867,140.223295,1225,27,838,360,,66.3769920548095,,,2.20408163265306,39208,JPN,,
147,Vichada,Colombia,1610296229000,4.4234,-69.2878,1166,14,1140,12,,1081.55238943307,,,1.20068610634648,17033,COL,,
146,Vaupes,Colombia,1610296229000,0.8554,-70.812,1142,13,1125,4,,2799.22543324264,,,1.13835376532399,17032,COL,,
262,Nagasaki,Japan,1610296229000,33.235712,129.608033,1034,8,517,509,,77.9480808488953,,,0.773694390715667,39227,JPN,,
159,St Martin,France,1610296229000,18.0708,-63.0501,1025,12,855,158,,2651.38777516232,,,1.17073170731707,663,MAF,,
95,Hunan,China,1610296229000,27.6104,111.7088,1022,4,1017,1,,1.48137411219017,,,0.391389432485323,15614,CHN,,
82,Beijing,China,1610296229000,40.1824,116.4142,996,9,950,37,,4.62395543175488,,,0.903614457831325,15602,CHN,,
589,Turks and Caicos Islands,United Kingdom,1610296229000,21.694,-71.7979,994,6,812,176,,2567.28136783925,,,0.603621730382294,796,TCA,,
81,Anhui,China,1610296229000,31.8257,117.2264,993,6,986,1,,1.57020872865275,,,0.604229607250755,15601,CHN,,
111,Xinjiang,China,1610296229000,41.1129,85.2401,980,3,977,0,,3.9404905508645,,,0.306122448979592,15629,CHN,,
91,Heilongjiang,China,1610296229000,47.862,127.7615,971,13,949,9,,2.57354890007951,,,1.33882595262616,15611,CHN,,
98,Jiangxi,China,1610296229000,27.614,115.7221,935,1,934,0,,2.01161790017212,,,0.106951871657754,15617,CHN,,
8,Western Australia,Australia,1610296229000,-31.9505,115.8605,875,9,851,15,,33.2623736029803,,,1.02857142857143,3608,AUS,,
105,Shandong,China,1610296229000,36.3427,118.1498,864,7,852,5,,0.85995819647656,,,0.810185185185185,15623,CHN,,
108,Sichuan,China,1610296229000,30.6171,102.7103,857,3,833,21,,1.02745474163769,,,0.350058343057176,15626,CHN,,
265,Oita,Japan,1610296229000,33.200697,131.43324,829,9,658,162,,73.0117294356167,,,1.08564535585042,39230,JPN,,
